STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
FOL,D,23,OUTFLOW,19880426 0000,19880425 0100,1150,,CFS
FOL,D,23,OUTFLOW,19880427 0000,19880426 0100,1155,,CFS
FOL,D,23,OUTFLOW,19880428 0000,19880427 0100,1078,,CFS
FOL,D,23,OUTFLOW,19880429 0000,19880428 0100,1074,,CFS
FOL,D,23,OUTFLOW,19880501 0000,19880501 0000,1182,,CFS
FOL,D,23,OUTFLOW,19880502 0000,19880501 0100,1182,,CFS
FOL,D,23,OUTFLOW,19880503 0000,19880502 0100,1151,,CFS
FOL,D,23,OUTFLOW,19880504 0000,19880503 0100,1202,,CFS
FOL,D,23,OUTFLOW,19880505 0000,19880504 0100,1452,,CFS
FOL,D,23,OUTFLOW,19880506 0000,19880505 0100,2106,,CFS
FOL,D,23,OUTFLOW,19880508 0000,19880508 0000,3402,,CFS
FOL,D,23,OUTFLOW,19880509 0000,19880508 0100,3402,,CFS
FOL,D,23,OUTFLOW,19880510 0000,19880509 0100,2786,,CFS
FOL,D,23,OUTFLOW,19880511 0000,19880510 0100,1134,,CFS
FOL,D,23,OUTFLOW,19880512 0000,19880511 0100,1009,,CFS
FOL,D,23,OUTFLOW,19880513 0000,19880512 0100,1115,,CFS
FOL,D,23,OUTFLOW,19880515 0000,19880515 0000,1085,,CFS
FOL,D,23,OUTFLOW,19880516 0000,19880515 0100,1085,,CFS
FOL,D,23,OUTFLOW,19880517 0000,19880516 0100,1271,,CFS
FOL,D,23,OUTFLOW,19880518 0000,19880517 0100,1249,,CFS
FOL,D,23,OUTFLOW,19880519 0000,19880518 0100,1051,,CFS
FOL,D,23,OUTFLOW,19880520 0000,19880519 0100,1148,,CFS
FOL,D,23,OUTFLOW,19880522 0000,19880522 0000,1239,,CFS
FOL,D,23,OUTFLOW,19880523 0000,19880522 0100,1239,,CFS
FOL,D,23,OUTFLOW,19880524 0000,19880523 0100,1312,,CFS
FOL,D,23,OUTFLOW,19880525 0000,19880525 0000,1272,,CFS
FOL,D,23,OUTFLOW,19880526 0000,19880525 0100,1272,,CFS
FOL,D,23,OUTFLOW,19880527 0000,19880526 0100,1266,,CFS
